MS SubClass,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Misc Val,Mo Sold,SalePrice
20,80.0,11622,5,6,0.0,468.0,144.0,270.0,882.0,896,0,0,896,0.0,1,0,2,1,5,0,1961.0,1.0,730.0,140,0,0,0,120,0,6,105000
20,93.0,11160,7,5,0.0,1065.0,0.0,1045.0,2110.0,2110,0,0,2110,1.0,2,1,3,1,8,2,1968.0,2.0,522.0,0,0,0,0,0,0,4,244000
60,74.0,13830,5,5,0.0,791.0,0.0,137.0,928.0,928,701,0,1629,0.0,2,1,3,1,6,1,1997.0,2.0,482.0,212,34,0,0,0,0,3,189900
60,78.0,9978,6,6,20.0,602.0,0.0,324.0,926.0,926,678,0,1604,0.0,2,1,3,1,7,1,1998.0,2.0,470.0,360,36,0,0,0,0,6,195500
120,41.0,4920,8,5,0.0,616.0,0.0,722.0,1338.0,1338,0,0,1338,1.0,2,0,2,1,6,0,2001.0,2.0,582.0,0,0,170,0,0,0,4,213500
120,43.0,5005,8,5,0.0,263.0,0.0,1017.0,1280.0,1280,0,0,1280,0.0,2,0,2,1,5,0,1992.0,2.0,506.0,0,82,0,0,144,0,1,191500
120,39.0,5389,8,5,0.0,1180.0,0.0,415.0,1595.0,1616,0,0,1616,1.0,2,0,2,1,5,1,1995.0,2.0,608.0,237,152,0,0,0,0,3,236500
60,60.0,7500,7,5,0.0,0.0,0.0,994.0,994.0,1028,776,0,1804,0.0,2,1,3,1,7,1,1999.0,2.0,442.0,140,60,0,0,0,0,6,189000
60,75.0,10000,6,5,0.0,0.0,0.0,763.0,763.0,763,892,0,1655,0.0,2,1,3,1,7,1,1993.0,2.0,440.0,157,84,0,0,0,0,4,175900
60,63.0,8402,6,5,0.0,0.0,0.0,789.0,789.0,789,676,0,1465,0.0,2,1,3,1,7,1,1998.0,2.0,393.0,0,75,0,0,0,0,5,180400
20,85.0,10176,7,5,0.0,637.0,0.0,663.0,1300.0,1341,0,0,1341,1.0,1,1,2,1,5,1,1990.0,2.0,506.0,192,0,0,0,0,0,2,171500
20,85.0,13175,6,6,119.0,790.0,163.0,589.0,1542.0,2073,0,0,2073,1.0,2,0,3,1,7,2,1978.0,2.0,500.0,349,0,0,0,0,0,2,210000
20,105.0,11751,6,6,480.0,705.0,0.0,1139.0,1844.0,1844,0,0,1844,0.0,2,0,3,1,7,1,1977.0,2.0,546.0,0,122,0,0,0,0,1,190000
85,85.0,10625,7,6,81.0,885.0,168.0,0.0,1053.0,1173,0,0,1173,1.0,2,0,3,1,6,2,1974.0,2.0,528.0,0,120,0,0,0,0,1,170000
20,65.0,8450,5,6,0.0,775.0,0.0,281.0,1056.0,1056,0,0,1056,1.0,1,0,3,1,6,1,1968.0,1.0,304.0,0,85,184,0,0,0,7,142000
20,70.0,8400,4,5,0.0,804.0,78.0,0.0,882.0,882,0,0,882,1.0,1,0,2,1,4,0,1970.0,2.0,525.0,240,0,0,0,0,0,4,126000
120,26.0,5858,7,5,0.0,1051.0,0.0,354.0,1405.0,1337,0,0,1337,1.0,2,0,2,1,5,1,1999.0,2.0,511.0,203,68,0,0,0,0,6,184000
160,21.0,1680,6,5,504.0,156.0,0.0,327.0,483.0,483,504,0,987,0.0,1,1,2,1,5,0,1971.0,1.0,264.0,275,0,0,0,0,0,2,96000
160,21.0,1680,5,5,492.0,300.0,0.0,225.0,525.0,525,567,0,1092,0.0,1,1,3,1,6,0,1997.0,1.0,320.0,0,0,0,0,0,0,3,105500
160,21.0,1680,6,5,381.0,0.0,0.0,525.0,525.0,525,567,0,1092,0.0,1,1,3,1,6,0,1971.0,1.0,264.0,0,0,0,0,0,0,3,88000
120,53.0,4043,6,5,0.0,360.0,0.0,709.0,1069.0,1069,0,0,1069,0.0,2,0,2,1,4,1,1977.0,2.0,440.0,0,55,0,0,165,0,7,127500
160,24.0,2280,6,6,0.0,514.0,0.0,341.0,855.0,855,601,0,1456,0.0,2,1,3,1,6,1,1975.0,2.0,440.0,173,0,0,0,0,0,6,149900
120,24.0,2280,7,6,0.0,0.0,0.0,836.0,836.0,836,0,0,836,0.0,1,0,2,1,4,0,1975.0,1.0,308.0,0,30,0,0,0,0,6,120000
160,24.0,2280,6,5,0.0,311.0,0.0,544.0,855.0,855,601,0,1456,0.0,2,1,3,1,7,1,1978.0,2.0,440.0,26,0,0,0,0,0,7,146000
60,102.0,12858,9,5,162.0,0.0,0.0,1590.0,1590.0,1627,707,0,2334,0.0,2,1,3,1,10,1,2009.0,3.0,751.0,144,133,0,0,0,0,1,376162
20,98.0,11478,8,5,200.0,1218.0,0.0,486.0,1704.0,1704,0,0,1704,1.0,2,0,3,1,7,1,2008.0,3.0,772.0,0,50,0,0,0,0,5,306000
20,83.0,10159,9,5,450.0,1646.0,0.0,284.0,1930.0,1940,0,0,1940,1.0,2,1,3,1,8,1,2010.0,3.0,606.0,168,95,0,0,0,0,4,395192
20,94.0,12883,8,5,256.0,0.0,0.0,1544.0,1544.0,1544,0,0,1544,0.0,2,0,3,1,7,0,2009.0,3.0,868.0,0,35,0,0,0,0,6,290941
20,95.0,12182,7,5,226.0,1201.0,0.0,340.0,1541.0,1541,0,0,1541,0.0,2,0,3,1,7,1,2005.0,2.0,532.0,0,70,0,0,0,0,5,220000
20,90.0,11520,9,5,615.0,110.0,0.0,1588.0,1698.0,1698,0,0,1698,0.0,2,0,3,1,7,1,2005.0,3.0,730.0,192,74,0,0,0,0,6,275000
20,79.0,14122,8,5,240.0,28.0,0.0,1794.0,1822.0,1822,0,0,1822,0.0,2,0,3,1,8,1,2005.0,3.0,678.0,0,119,0,0,0,0,2,259000
20,70.0,10171,7,5,168.0,2.0,0.0,1515.0,1517.0,1535,0,0,1535,0.0,2,0,3,1,7,0,2004.0,2.0,532.0,0,0,0,0,0,0,3,214000
120,44.0,6371,7,5,128.0,733.0,0.0,625.0,1358.0,1358,0,0,1358,1.0,2,0,2,1,6,1,2010.0,2.0,484.0,192,35,0,0,0,0,6,224000
60,105.0,13650,8,5,232.0,578.0,0.0,1093.0,1671.0,1687,563,0,2250,1.0,2,1,3,1,7,1,2002.0,3.0,756.0,238,130,0,0,0,0,6,320000
120,61.0,7658,9,5,412.0,456.0,0.0,1296.0,1752.0,1752,0,0,1752,1.0,2,0,2,1,6,1,2005.0,2.0,576.0,196,82,0,0,0,0,2,319900
120,41.0,7132,8,5,178.0,24.0,0.0,1346.0,1370.0,1370,0,0,1370,0.0,2,0,2,1,6,1,2006.0,2.0,484.0,120,49,0,0,0,0,4,205000
160,36.0,2628,7,5,106.0,0.0,0.0,764.0,764.0,764,862,0,1626,0.0,2,1,2,1,6,0,2003.0,2.0,474.0,0,27,0,0,0,0,6,175500
20,100.0,18494,6,5,0.0,0.0,0.0,1324.0,1324.0,1324,0,0,1324,0.0,2,0,3,1,6,0,2005.0,2.0,430.0,36,23,0,0,0,0,1,199500
120,43.0,3203,7,5,14.0,16.0,0.0,1129.0,1145.0,1145,0,0,1145,0.0,2,0,2,1,6,0,2006.0,2.0,437.0,100,116,0,0,0,0,1,160000
120,43.0,3182,8,5,16.0,24.0,0.0,1232.0,1256.0,1269,0,0,1269,0.0,2,0,2,1,6,1,2004.0,2.0,430.0,146,20,0,0,144,0,4,192000
80,67.0,13300,7,5,0.0,326.0,0.0,58.0,384.0,744,630,0,1374,1.0,2,1,3,1,7,1,2004.0,2.0,400.0,100,0,0,0,0,0,6,184500
60,63.0,8577,7,5,0.0,0.0,0.0,847.0,847.0,847,886,0,1733,0.0,2,1,3,1,7,1,2004.0,2.0,433.0,144,48,0,0,0,0,4,185088
20,59.0,10593,7,5,338.0,919.0,0.0,801.0,1720.0,1720,0,0,1720,1.0,2,0,3,1,7,1,1996.0,2.0,527.0,240,56,154,0,0,0,3,260400
60,98.0,12256,8,5,362.0,1032.0,0.0,431.0,1463.0,1500,1122,0,2622,1.0,2,1,3,1,9,2,1994.0,2.0,712.0,186,32,0,0,0,0,4,325000
60,92.0,11764,8,7,348.0,524.0,0.0,628.0,1152.0,1164,1106,0,2270,0.0,2,1,4,1,9,1,1999.0,3.0,671.0,132,57,0,0,0,0,4,290000
60,58.0,16770,7,5,30.0,0.0,0.0,1195.0,1195.0,1195,644,0,1839,0.0,2,1,4,1,7,0,1998.0,2.0,486.0,0,81,0,0,0,0,6,221000
20,92.0,9215,7,5,0.0,0.0,0.0,1218.0,1218.0,1218,0,0,1218,0.0,2,0,2,1,4,0,2009.0,2.0,676.0,0,136,0,0,0,0,4,204500
60,72.0,8640,7,5,0.0,24.0,0.0,732.0,756.0,764,783,0,1547,0.0,2,1,3,1,7,0,2009.0,2.0,614.0,169,45,0,0,0,0,6,215200
20,75.0,9000,8,5,36.0,1078.0,0.0,488.0,1566.0,1566,0,0,1566,1.0,2,0,3,1,7,0,2008.0,2.0,750.0,144,168,0,0,0,0,4,262500
60,100.0,12552,7,5,0.0,222.0,0.0,769.0,991.0,991,956,0,1947,0.0,2,1,3,1,8,1,2004.0,2.0,678.0,0,136,0,0,0,0,5,254900
60,76.0,10142,7,5,0.0,656.0,0.0,300.0,956.0,956,1128,0,2084,1.0,2,1,4,1,8,0,2004.0,2.0,618.0,0,45,0,0,0,0,1,233000
60,70.0,11920,7,5,122.0,0.0,0.0,831.0,831.0,831,828,0,1659,0.0,2,1,3,1,8,0,2004.0,2.0,484.0,144,68,0,0,0,0,4,181000
