Algo,Seed,n,p,k_true,k,γ,NR,α,R2,OR2,t_algo,t_data,t_variance
dual,1997.0,10000.0,50.0,5.0,15.0,1.0,0.001,0.05,0.526,0.525,3.572,0.057,0.815
primal,1997.0,10000.0,50.0,5.0,15.0,1.0,0.001,0.05,0.526,0.525,8.274,0.057,0.815
dual,1997.0,10000.0,50.0,5.0,15.0,10.0,0.001,0.05,0.69,0.687,1800.229,0.057,1.655
primal,1997.0,10000.0,50.0,5.0,15.0,10.0,0.001,0.05,0.689,0.688,8.226,0.057,1.655
dual,1997.0,10000.0,50.0,5.0,15.0,100.0,0.001,0.05,0.57,0.568,1800.372,0.057,2.965
primal,1997.0,10000.0,50.0,5.0,15.0,100.0,0.001,0.05,0.703,0.703,180.088,0.057,2.965
dual,1997.0,10000.0,50.0,5.0,15.0,500.0,0.001,0.05,0.691,0.692,1800.245,0.057,4.298
primal,1997.0,10000.0,50.0,5.0,15.0,500.0,0.001,0.05,0.703,0.704,57.597,0.057,4.298
dual,1997.0,10000.0,50.0,5.0,15.0,1000.0,0.001,0.05,0.683,0.684,1800.393,0.057,5.39
primal,1997.0,10000.0,50.0,5.0,15.0,1000.0,0.001,0.05,0.703,0.704,23.312,0.057,5.39
dual,1997.0,10000.0,100.0,10.0,15.0,1.0,0.001,0.05,0.393,0.388,1.591,0.113,1.041
primal,1997.0,10000.0,100.0,10.0,15.0,1.0,0.001,0.05,0.393,0.388,415.796,0.113,1.041
dual,1997.0,10000.0,100.0,10.0,15.0,10.0,0.001,0.05,0.502,0.488,1800.205,0.113,1.941
primal,1997.0,10000.0,100.0,10.0,15.0,10.0,0.001,0.05,0.502,0.488,342.083,0.113,1.941
dual,1997.0,10000.0,100.0,10.0,15.0,100.0,0.001,0.05,0.425,0.42,1800.233,0.113,3.316
primal,1997.0,10000.0,100.0,10.0,15.0,100.0,0.001,0.05,0.506,0.492,1125.23,0.113,3.316
dual,1997.0,10000.0,100.0,10.0,15.0,500.0,0.001,0.05,0.326,0.317,1800.8,0.113,4.95
primal,1997.0,10000.0,100.0,10.0,15.0,500.0,0.001,0.05,0.506,0.492,280.688,0.113,4.95
dual,1997.0,10000.0,100.0,10.0,15.0,1000.0,0.001,0.05,0.429,0.431,1800.293,0.113,6.006
primal,1997.0,10000.0,100.0,10.0,15.0,1000.0,0.001,0.05,0.506,0.492,1800.019,0.113,6.006
dual,1997.0,10000.0,150.0,15.0,15.0,1.0,0.001,0.05,0.307,0.312,0.338,8.581,0.831
primal,1997.0,10000.0,150.0,15.0,15.0,1.0,0.001,0.05,0.307,0.312,1800.277,8.581,0.831
dual,1997.0,10000.0,150.0,15.0,15.0,10.0,0.001,0.05,0.304,0.317,1800.266,8.581,4.001
primal,1997.0,10000.0,150.0,15.0,15.0,10.0,0.001,0.05,0.392,0.4,23.447,8.581,4.001
dual,1997.0,10000.0,150.0,15.0,15.0,100.0,0.001,0.05,0.339,0.348,1800.212,8.581,5.291
primal,1997.0,10000.0,150.0,15.0,15.0,100.0,0.001,0.05,0.395,0.403,38.512,8.581,5.291
dual,1997.0,10000.0,150.0,15.0,15.0,500.0,0.001,0.05,0.309,0.324,1800.209,8.581,6.354
primal,1997.0,10000.0,150.0,15.0,15.0,500.0,0.001,0.05,0.395,0.403,1800.274,8.581,6.354
dual,1997.0,10000.0,150.0,15.0,15.0,1000.0,0.001,0.05,0.268,0.289,1800.479,8.581,7.381
primal,1997.0,10000.0,150.0,15.0,15.0,1000.0,0.001,0.05,0.395,0.403,1800.312,8.581,7.381
dual,1997.0,10000.0,200.0,20.0,15.0,1.0,0.001,0.05,0.199,0.201,419.047,1.136,0.872
primal,1997.0,10000.0,200.0,20.0,15.0,1.0,0.001,0.05,0.199,0.201,1800.278,1.136,0.872
dual,1997.0,10000.0,200.0,20.0,15.0,10.0,0.001,0.05,0.217,0.217,1800.301,1.136,3.375
primal,1997.0,10000.0,200.0,20.0,15.0,10.0,0.001,0.05,0.271,0.257,1800.07,1.136,3.375
dual,1997.0,10000.0,200.0,20.0,15.0,100.0,0.001,0.05,0.193,0.194,1800.526,1.136,5.277
primal,1997.0,10000.0,200.0,20.0,15.0,100.0,0.001,0.05,0.273,0.256,1799.36,1.136,5.277
dual,1997.0,10000.0,200.0,20.0,15.0,500.0,0.001,0.05,0.152,0.146,1800.622,1.136,6.965
primal,1997.0,10000.0,200.0,20.0,15.0,500.0,0.001,0.05,0.274,0.256,1800.17,1.136,6.965
dual,1997.0,10000.0,200.0,20.0,15.0,1000.0,0.001,0.05,-0.005,-0.012,1800.621,1.136,8.474
primal,1997.0,10000.0,200.0,20.0,15.0,1000.0,0.001,0.05,0.273,0.255,1800.176,1.136,8.474
dual,1997.0,10000.0,500.0,50.0,15.0,1.0,0.001,0.05,0.068,0.066,1800.293,1.489,1.152
primal,1997.0,10000.0,500.0,50.0,15.0,1.0,0.001,0.05,0.071,0.07,1800.494,1.489,1.152
dual,1997.0,10000.0,500.0,50.0,15.0,10.0,0.001,0.05,0.077,0.076,1800.168,1.489,2.776
primal,1997.0,10000.0,500.0,50.0,15.0,10.0,0.001,0.05,0.093,0.079,1800.602,1.489,2.776
dual,1997.0,10000.0,500.0,50.0,15.0,100.0,0.001,0.05,0.043,0.044,1801.193,1.489,4.384
primal,1997.0,10000.0,500.0,50.0,15.0,100.0,0.001,0.05,0.094,0.079,1800.564,1.489,4.384
dual,1997.0,10000.0,500.0,50.0,15.0,500.0,0.001,0.05,0.047,0.042,1801.295,1.489,5.69
primal,1997.0,10000.0,500.0,50.0,15.0,500.0,0.001,0.05,0.092,0.075,1800.765,1.489,5.69
dual,1997.0,10000.0,500.0,50.0,15.0,1000.0,0.001,0.05,-0.01,-0.019,1802.271,1.489,7.161
primal,1997.0,10000.0,500.0,50.0,15.0,1000.0,0.001,0.05,0.082,0.056,1800.556,1.489,7.161
dual,1998.0,10000.0,50.0,5.0,6.0,1.0,0.001,0.05,0.508,0.506,0.083,0.08,1.012
primal,1998.0,10000.0,50.0,5.0,6.0,1.0,0.001,0.05,0.508,0.506,0.938,0.08,1.012
dual,1998.0,10000.0,50.0,5.0,6.0,10.0,0.001,0.05,0.676,0.668,0.1,0.08,1.794
